series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T36.A.V.$,T36,"Total trade - value, volume, unit value",32,C,Argentina,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,1342,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",32,C,Argentina,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,1613,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",60,C,Bermuda,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,3.13834847,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",60,C,Bermuda,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,24.21179593,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",68,C,Bolivia (Plurinational State of),1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,59.599,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",68,C,Bolivia (Plurinational State of),1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,81.099,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",76,C,Brazil,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,1217,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",76,C,Brazil,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,1131,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",84,C,Belize,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,6.142,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",84,C,Belize,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,8.678,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",104,C,Myanmar,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,144.86807482,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",104,C,Myanmar,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,142.84300049,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",152,C,Chile,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,279.099,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",152,C,Chile,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,277.299,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",170,C,Colombia,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,364.899,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",170,C,Colombia,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,255,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",178,C,Congo,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,48.75089835,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",178,C,Congo,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,53.32413144,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",184,C,Cook Islands,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,0.51754487,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",184,C,Cook Islands,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,0.81086498,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",188,C,Costa Rica,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,31,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",188,C,Costa Rica,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,48.079,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",214,C,Dominican Republic,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,53.399,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",214,C,Dominican Republic,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,83.199,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",218,C,Ecuador,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,44.699,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",218,C,Ecuador,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,44,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",222,C,El Salvador,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,36.77159724,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",222,C,El Salvador,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,39.67559702,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",234,C,Faeroe Islands,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,16.29625267,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",234,C,Faeroe Islands,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,9.60488288,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",258,C,French Polynesia,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,7.43206186,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",258,C,French Polynesia,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,8.69669538,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",276,C,Germany,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,222,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",276,C,Germany,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,748.799,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",300,C,Greece,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,77.32399227,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",300,C,Greece,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,186.0405814,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",316,C,Guam,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,3.6,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",316,C,Guam,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,9.4,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",320,C,Guatemala,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,57.299,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",320,C,Guatemala,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,65.599,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",340,C,Honduras,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,27.39609431,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",340,C,Honduras,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,42.5,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",344,C,"China, Hong Kong SAR",1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,390.4445505,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",344,C,"China, Hong Kong SAR",1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,316.8898352,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",360,C,Indonesia,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,127.8029695,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",360,C,Indonesia,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,305.3699271,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",364,C,Iran (Islamic Rep. of),1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,167.422936,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",364,C,Iran (Islamic Rep. of),1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,391.42119,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",368,C,Iraq,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,59.26114603,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",376,C,Israel,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,33.349,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",376,C,Israel,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,90.919,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",392,C,Japan,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,174,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",392,C,Japan,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,524,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",410,C,"Korea, Republic of",1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,197.299,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",410,C,"Korea, Republic of",1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,,$,8,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",430,C,Liberia,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,,$,8.759,M,V,Value,A,Actual
