series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T38.A.CF.,T38,Conversion factors,316,C,Guam,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,320,C,Guatemala,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,320,C,Guatemala,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,328,C,Guyana,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,328,C,Guyana,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,332,C,Haiti,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.19999998,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,332,C,Haiti,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.19999998,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,340,C,Honduras,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.5,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,340,C,Honduras,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.4900999,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,344,C,"China, Hong Kong SAR",1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.25199991,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,344,C,"China, Hong Kong SAR",1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.25199991,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,348,C,Hungary,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.08454996,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,348,C,Hungary,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.08582699,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,352,C,Iceland,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.15399998,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,352,C,Iceland,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.15399998,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,356,C,India,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.30219984,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,356,C,India,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.30219984,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,360,C,Indonesia,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.37599986,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,360,C,Indonesia,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.37699991,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,364,C,Iran (Islamic Rep. of),1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.03100999,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,368,C,Iraq,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,368,C,Iraq,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,372,C,Ireland,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,372,C,Ireland,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,376,C,Israel,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,376,C,Israel,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,384,C,Cote d'Ivoire,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.01426997,,CF,Conversion Factor,A,Actual
